,Algorithm,Samples,Score,Iterations
895,SIMANNEAL,50,3203.1888578236253,54.0
896,SIMANNEAL,50,3203.1888578236253,55.0
897,SIMANNEAL,50,3204.205045429162,57.0
898,SIMANNEAL,50,3212.75569990663,59.0
899,SIMANNEAL,50,3212.75569990663,60.0
900,SIMANNEAL,50,3212.6187240675727,62.0
901,SIMANNEAL,50,3212.6187240675727,63.0
902,SIMANNEAL,50,3212.6187240675727,64.0
903,SIMANNEAL,50,3212.6187240675727,65.0
904,SIMANNEAL,50,3212.6187240675727,66.0
905,SIMANNEAL,50,3212.6187240675727,67.0
906,SIMANNEAL,50,3212.6187240675727,68.0
907,SIMANNEAL,50,3212.6187240675727,69.0
908,SIMANNEAL,50,3213.272829360046,71.0
909,SIMANNEAL,50,3213.272829360046,72.0
910,SIMANNEAL,50,3213.272829360046,73.0
911,SIMANNEAL,50,3213.272829360046,74.0
912,SIMANNEAL,50,3213.272829360046,75.0
913,SIMANNEAL,50,3213.272829360046,76.0
914,SIMANNEAL,50,3213.272829360046,77.0
915,SIMANNEAL,50,3213.272829360046,78.0
916,SIMANNEAL,50,3213.272829360046,79.0
917,SIMANNEAL,50,3215.3795091128814,81.0
918,SIMANNEAL,50,3215.3795091128814,82.0
919,SIMANNEAL,50,3215.3795091128814,83.0
920,SIMANNEAL,50,3215.3795091128814,84.0
921,SIMANNEAL,50,3215.3795091128814,85.0
922,SIMANNEAL,50,3215.3795091128814,86.0
923,SIMANNEAL,50,3215.3795091128814,87.0
924,SIMANNEAL,50,3215.3795091128814,88.0
925,SIMANNEAL,50,3215.3795091128814,89.0
926,SIMANNEAL,50,3215.3795091128814,90.0
927,SIMANNEAL,50,3215.3795091128814,91.0
